2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,167 |-ERROR in ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP@16c0663d - Missing integer token, that is %i, in FileNamePattern [/nifi-1.7.1/logs/nifi-app_%d.log]
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,167 |-ERROR in ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP@16c0663d - See also http://logback.qos.ch/codes.html#sat_missing_integer_token
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,168 |-WARN in c.q.l.core.rolling.SizeAndTimeBasedRollingPolicy@226170135 - Subcomponent did not start. TimeBasedRollingPolicy will not start.
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,186 |-WARN in ch.qos.logback.core.rolling.RollingFileAppender[APP_FILE] - TriggeringPolicy has not started. RollingFileAppender will not start
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,186 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.rolling.RollingFileAppender]
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,186 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [USER_FILE]
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,188 |-INFO in c.q.l.core.rolling.TimeBasedRollingPolicy@589446616 - No compression will be used
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,188 |-INFO in c.q.l.core.rolling.TimeBasedRollingPolicy@589446616 - Will use the pattern /nifi-1.7.1/logs/nifi-user_%d.log for the active file
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,189 |-INFO in c.q.l.core.rolling.DefaultTimeBasedFileNamingAndTriggeringPolicy - The date pattern is 'yyyy-MM-dd' from file name pattern '/nifi-1.7.1/logs/nifi-user_%d.log'.
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,189 |-INFO in c.q.l.core.rolling.DefaultTimeBasedFileNamingAndTriggeringPolicy - Roll-over at midnight.
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,190 |-INFO in c.q.l.core.rolling.DefaultTimeBasedFileNamingAndTriggeringPolicy - Setting initial period to Fri Jun 28 20:41:24 GMT 2019
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,193 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[USER_FILE] - Active log file name: /nifi-1.7.1/logs/nifi-user.log
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,193 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[USER_FILE] - File property is set to [/nifi-1.7.1/logs/nifi-user.log]
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,194 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.rolling.RollingFileAppender]
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,194 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [BOOTSTRAP_FILE]
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,196 |-INFO in c.q.l.core.rolling.TimeBasedRollingPolicy@1321640594 - No compression will be used
2019-06-28 20:53:16,218 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,196 |-INFO in c.q.l.core.rolling.TimeBasedRollingPolicy@1321640594 - Will use the pattern /nifi-1.7.1/logs/nifi-bootstrap_%d.log for the active file
2019-06-28 20:53:16,229 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,197 |-INFO in c.q.l.core.rolling.DefaultTimeBasedFileNamingAndTriggeringPolicy - The date pattern is 'yyyy-MM-dd' from file name pattern '/nifi-1.7.1/logs/nifi-bootstrap_%d.log'.
2019-06-28 20:53:16,229 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,197 |-INFO in c.q.l.core.rolling.DefaultTimeBasedFileNamingAndTriggeringPolicy - Roll-over at midnight.
2019-06-28 20:53:16,229 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,198 |-INFO in c.q.l.core.rolling.DefaultTimeBasedFileNamingAndTriggeringPolicy - Setting initial period to Fri Jun 28 20:53:15 GMT 2019
2019-06-28 20:53:16,229 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,199 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[BOOTSTRAP_FILE] - Active log file name: /nifi-1.7.1/logs/nifi-bootstrap.log
2019-06-28 20:53:16,229 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,199 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[BOOTSTRAP_FILE] - File property is set to [/nifi-1.7.1/logs/nifi-bootstrap.log]
