CODE_PAYS;CODE_MARQUE;CODE_CLIENT_ORDER;NOM_CLIENT_ORDER;VIN;CODE_CANAL_VN;L_CANAL;Type_LLD;F2MLInformation;NUM_IMMATRICULATION;GENRE;REF_VERSION;L_MODELE;L_VERSION_VEH;KM_ENTREE_PHYSIQUE;DATE_MEC_CLEAN;PRIX_VENTEVO_HT;PRIX_VENTEVO_TTC;HAB_EXT;LIBELLE_COULEUR;EMPTY_COLUMN
FR;AP;631467P;TEMPO CAR;VF3LCBHZHFS219060;F250;F2ML;;;DV-922-LP;VP;PEUGEOT;308 V2 SW;308 SW Allure 1,6L BlueHDi 120 S&S BVM6;107896;03/09/2015 00:00;7350;8820;P09G;GRIS HURRICANE;
FR;AP;631467P;TEMPO CAR;VF3LCBHZWFS142886;F250;F2ML;;;DS-772-XC;VP;PEUGEOT;308 V2 SW;308 SW Allure 1,6L BlueHDi 120 S&S EAT6;89897;29/06/2015 00:00;8850;10620;M01S;KKS  MOKA;
FR;AP;631487N;LINE AUTOS;VF3LC9HPAES199431;F250;F2ML;;;DK-654-AD;VP;PEUGEOT;308 V2 SW;Nlle 308 SW Access 1,6L HDi 92ch BVM5;127428;11/09/2014 00:00;5150;6180;P0WP;BLANC BANQUISE;
FR;AP;631517R;OXYLIO AUTOMOBILES SARL;VF38EAHXMEL047088;F250;F2ML;;;DN-347-DP;VP;PEUGEOT;508 SW;Nlle 508 SW F�line 2,0L BlueHDi 150 BVM6;43708;09/01/2015 00:00;13700;16440;M09V;NOIR PERLA NERA;
FR;AP;631517R;OXYLIO AUTOMOBILES SARL;VF3CCBHW6FT138895;F250;F2ML;;;DT-858-VZ;VU;PEUGEOT;208 VU;Nouv 208 affaire 5P Pack Clim 1,6L BlueHDi 75 BVM5;19463;04/08/2015 00:00;6200;7440;M09V;NOIR PERLA NERA;
FR;AP;631517R;OXYLIO AUTOMOBILES SARL;VF3CCBHW6FW017972;F250;F2ML;;;DT-077-LG;VP;PEUGEOT;208;Nouvelle 208 Allure Business  5 ptes 1,6L BlueHDi 75 S&S BVM5;44571;21/07/2015 00:00;6650;7980;P0WP;BLANC BANQUISE;
FR;AP;631517R;OXYLIO AUTOMOBILES SARL;VF3CCBHY6GT148158;F250;F2ML;;;ED-289-HW;VP;PEUGEOT;208;208 Allure Business 1,6L BlueHDi 100 S&S BVM5 5ptes;26481;23/06/2016 00:00;8900;10680;P0WP;BLANC BANQUISE;
FR;AP;631517R;OXYLIO AUTOMOBILES SARL;VF3CCBHY6GT148160;F250;F2ML;;;ED-374-HW;VP;PEUGEOT;208;208 Allure Business 1,6L BlueHDi 100 S&S BVM5 5ptes;19430;23/06/2016 00:00;8450;10140;P0WP;BLANC BANQUISE;
FR;AP;631517R;OXYLIO AUTOMOBILES SARL;VF3CCHMZ6HW112319;F250;LEASING / LLD;;;EP-650-DQ;VP;PEUGEOT;208;208 Style 1,2L PureTech 82 BVM5 5 ptes;9590;12/07/2017 00:00;9121;10945,2;M09V;NOIR PERLA NERA;
FR;AP;631517R;OXYLIO AUTOMOBILES SARL;VF3CCHMZ6HW139419;F250;LEASING / LLD;;;EQ-280-JB;VP;PEUGEOT;208;208 Style 1,2L PureTech 82 BVM5 5 ptes;7658;08/09/2017 00:00;9467,09;11360,51;M0ZR;GRIS ALUMINIUM;
FR;AP;631517R;OXYLIO AUTOMOBILES SARL;VF3CUBHYKHY065095;F250;LEASING / LLD;;;EM-747-FG;VP;PEUGEOT;2008;SUV 2008 Allure Business 1,6L BlueHDI 100 S&S BVM5;61415;04/05/2017 00:00;10298,16;12357,79;M09V;NOIR PERLA NERA;
FR;AP;631517R;OXYLIO AUTOMOBILES SARL;VF3CUHMZ6HY122754;F250;LEASING / LLD;;;EQ-531-BT;VP;PEUGEOT;2008;SUV 2008 Style 1,2L PureTech 82 BVM5;7320;28/08/2017 00:00;11234,56;13481,47;M0F4;KCA  GRIS ARTENSE;
FR;AP;631517R;OXYLIO AUTOMOBILES SARL;VF3LBBHYBHS126476;F250;F2ML;;;EM-736-PR;VU;PEUGEOT;308;308 affaire 5P Premium 1,6L BlueHDi 100 S&S BVM5;19563;19/05/2017 00:00;10460,54;12552,65;P0WP;BLANC BANQUISE;
